rank,stock_name,score,reason,mention_count,date,market_sentiment,global_sentiment,domestic_news,global_news
1,TSMC,187.0,"반도체 섹터 소속, 매우 강력한 상승 모멘텀, TSMC 실적 폭발 + 글로벌 AI 칩 수요 과열",6,2026-01-27,bullish,,8,8
2,Broadcom,122.4,"반도체 섹터 소속, 매우 강력한 상승 모멘텀, AI 인프라 확대 + 맞춤형 실리콘 수혜",4,2026-01-27,bullish,,8,8
3,삼성전자,102.0,"반도체 섹터 소속, 매우 강력한 상승 모멘텀, 글로벌 AI 반도체 리더 + 실적 기대감",3,2026-01-27,bullish,,8,8
4,SK하이닉스,88.4,"반도체 섹터 소속, 매우 강력한 상승 모멘텀, TSMC 실적 폭발 + 글로벌 AI 칩 수요 과열",2,2026-01-27,bullish,,8,8
5,NVIDIA,79.9,"반도체 섹터 소속, 매우 강력한 상승 모멘텀, AI 칩 수익성 우려 vs 수요 증가 복합",2,2026-01-27,bullish,,8,8
6,TSM,76.5,"반도체 섹터 소속, 매우 강력한 상승 모멘텀",3,2026-01-27,bullish,,8,8
7,AMD,42.5,"반도체 섹터 소속, 강력한 상승 기대감",2,2026-01-27,bullish,,8,8
8,OpenAI,38.75,"AI 섹터 소속, 강력한 상승 기대감, Titan 칩 발표 + 독립 AI 칩 생태계 구축",1,2026-01-27,bullish,,8,8
9,한화에어로스페이스,31.25,"우주항공 섹터 소속, 강력한 상승 기대감",2,2026-01-27,bullish,,8,8
10,KB금융,28.75,"금융 섹터 소속, 상승 가능성 높음, Fed 정책 불확실성 vs 금융 주주환원 정책",1,2026-01-27,bullish,,8,8
